k1_x,k1_y,k1_p,k2_x,k2_y,k2_p,k3_x,k3_y,k3_p,k4_x,k4_y,k4_p,k5_x,k5_y,k5_p,k6_x,k6_y,k6_p,k7_x,k7_y,k7_p,k8_x,k8_y,k8_p,k9_x,k9_y,k9_p,k10_x,k10_y,k10_p,k11_x,k11_y,k11_p,k12_x,k12_y,k12_p,k13_x,k13_y,k13_p,k14_x,k14_y,k14_p,k15_x,k15_y,k15_p,k16_x,k16_y,k16_p,k17_x,k17_y,k17_p,Class
0.43278247,0.989265,0.396744,0.40600088,0.97288555,0.3971622,0.40484273,0.9606452,0.5518337,0.4230572,0.87935466,0.2610682,0.4301433,0.86030066,0.703807,0.5455983,0.7775929,0.62797946,0.5358505,0.77511245,0.7609668,0.4425334,0.49891192,0.6518744,0.44160834,0.49272755,0.81055045,0.2939767,0.27834475,0.3959175,0.30066562,0.27693012,0.62632036,0.83659667,0.44762817,0.5721282,0.8619771,0.4292998,0.67527115,0.60843986,0.09907781,0.4861362,0.61918426,0.08188891,0.5102656,0.28758675,0.25281888,0.3319604,0.29071516,0.22280158,0.38345575,Bow
0.43970338,0.9879706,0.6767287,0.42469203,0.96003556,0.7972492,0.4239094,0.96288604,0.8240554,0.46949947,0.88851166,0.8558462,0.47276136,0.8924729,0.87009454,0.55056274,0.8196781,0.6608313,0.5600723,0.8448426,0.90541893,0.44725344,0.5597693,0.67807966,0.455238,0.556241,0.79345894,0.30942863,0.31424648,0.29640236,0.30794036,0.30332056,0.49745092,0.81473035,0.4769976,0.5609112,0.85291004,0.47357595,0.7819743,0.6116155,0.04484159,0.7546387,0.6702122,0.02718103,0.77276975,0.2962256,0.25499082,0.2784267,0.29558688,0.25192276,0.30435157,Bow
0.3002076,0.9934095,0.8577005,0.27300224,0.9727361,0.8886337,0.27267608,0.9700032,0.80840856,0.3018293,0.8755065,0.7974761,0.30756903,0.87146604,0.79328257,0.41844115,0.79006433,0.7295817,0.42632505,0.78374773,0.8110783,0.332959,0.5295979,0.6841133,0.3374468,0.53023463,0.6511417,0.19760886,0.32807752,0.47673386,0.19679111,0.32128695,0.70506424,0.7406641,0.4938538,0.6839592,0.769517,0.48034582,0.7436464,0.6380457,0.05465204,0.7950392,0.65309924,0.04063608,0.7492918,0.2893095,0.21883869,0.3966562,0.2871102,0.2038652,0.5832858,Bow
0.41260496,0.99110574,0.8404446,0.38731638,0.9708179,0.8954822,0.38747346,0.9726678,0.64087784,0.4051227,0.8786387,0.84652096,0.40799755,0.8769339,0.8710208,0.4565008,0.78424484,0.70418656,0.51750034,0.7992125,0.77318037,0.39569622,0.5739408,0.7993915,0.42156696,0.5648605,0.6732263,0.30481628,0.37980157,0.85947305,0.32738984,0.34906447,0.78643996,0.69824666,0.4698203,0.6527748,0.7345323,0.45005837,0.40405264,0.550932,0.12426947,0.60540426,0.6265459,0.04995987,0.93278295,0.3149218,0.34239417,0.43354338,0.33856893,0.28796363,0.61649436,Bow
0.2843512,0.16233128,0.7809507,0.28814518,0.19451164,0.8047895,0.28685763,0.19096492,0.83068377,0.38570893,0.21125114,0.845161,0.38778037,0.20544982,0.8502445,0.49190658,0.14312749,0.66012174,0.494785,0.16352428,0.7904103,0.2253636,0.04465339,0.74747556,0.22393744,0.05113011,0.5519746,0.22630951,0.29019108,0.3743743,0.23181392,0.28606534,0.7031527,0.6946776,0.5060659,0.77484643,0.6777428,0.50240505,0.78390324,0.43865627,0.9397578,0.88614345,0.42900848,0.81752896,0.39695635,0.3029968,0.5288815,0.50396734,0.305672,0.53086483,0.5424781,Bow
0.3140036,0.9913652,0.83546287,0.28656206,0.97868216,0.7967228,0.2873934,0.9810312,0.8735179,0.30767855,0.8968566,0.8969192,0.31097785,0.90029526,0.8537936,0.39171875,0.7645906,0.613847,0.45338076,0.7967044,0.6976621,0.3722168,0.4947112,0.86925006,0.4100735,0.48071605,0.79553056,0.32556263,0.25238585,0.6121568,0.34715152,0.20723286,0.7443802,0.6741934,0.4691234,0.8390827,0.73109156,0.45691928,0.7478392,0.62535,0.1573807,0.754087,0.71414655,0.03502923,0.8406035,0.3504803,0.21210416,0.5378845,0.36380246,0.18336035,0.34627658,Bow
0.3036419,0.07042848,0.7433197,0.299409,0.0988474,0.8172414,0.29850718,0.09720614,0.7726952,0.3727781,0.15764128,0.79728806,0.37147635,0.15398897,0.79426914,0.46930704,0.21868572,0.6758345,0.43498778,0.24746574,0.7901166,0.45669442,0.49084494,0.7155523,0.43041587,0.47252852,0.8096492,0.41635528,0.74249685,0.6155946,0.353738,0.66975754,0.64727205,0.7081568,0.52477014,0.90072733,0.6680603,0.5205035,0.84529203,0.65837616,0.9254002,0.8340064,0.60639626,0.8597113,0.6685216,0.40161455,0.7561566,0.50146246,0.263629,0.7184349,0.5396366,Bow
0.3726013,0.19190167,0.47846302,0.3600386,0.2321376,0.6341082,0.35859966,0.2353299,0.669108,0.45153484,0.28592783,0.656798,0.4531781,0.28421155,0.69775474,0.5913439,0.23139507,0.6879183,0.5867067,0.22911422,0.7305747,0.27611014,0.22281024,0.79400885,0.27363825,0.23184617,0.6759638,0.05256183,0.4182376,0.6368668,0.05725875,0.42043254,0.43866342,0.8774476,0.5868726,0.7424787,0.8601529,0.5719673,0.57797813,0.5163671,0.8927238,0.74428844,0.5385743,0.8181553,0.6024061,0.15903749,0.62954783,0.7058929,0.24704558,0.599742,0.591508,Bow
0.34587443,0.9232051,0.5694434,0.34051505,0.88190514,0.46733728,0.34325767,0.87323445,0.5054128,0.39936197,0.8399188,0.4094782,0.41498375,0.842115,0.5062224,0.5531085,0.8786532,0.38377392,0.5728325,0.8794805,0.4779067,0.3947613,0.70680666,0.31492445,0.3905138,0.7042652,0.48460975,0.21456294,0.60977024,0.18336834,0.20448777,0.5905197,0.30858928,0.77697057,0.5753741,0.68398327,0.83254755,0.5451636,0.46178007,0.5877631,0.23802829,0.4663351,0.64045066,0.07306734,0.7935624,0.27371502,0.37793648,0.4491453,0.2728798,0.37628597,0.42893583,Bow
0.34889328,0.04279077,0.7020897,0.33832288,0.0828746,0.8068579,0.33742756,0.08035691,0.8210426,0.4021821,0.14908236,0.86393166,0.39619792,0.1464247,0.60628295,0.509596,0.2102041,0.67368525,0.5028911,0.21912082,0.79929227,0.40954858,0.4566871,0.79233915,0.40796065,0.4440017,0.786022,0.28150508,0.64701355,0.685983,0.2967774,0.61164844,0.596149,0.7718782,0.5432673,0.71222305,0.75295067,0.542718,0.8588325,0.5997733,0.9440569,0.8653682,0.57997465,0.86355513,0.46359462,0.30894384,0.7077365,0.61417484,0.33523166,0.7050107,0.4994602,Bow
0.30425793,0.01551406,0.8075986,0.2705649,0.03167363,0.7425495,0.2683252,0.03230703,0.7526788,0.30653447,0.11532436,0.93154424,0.3052356,0.12097988,0.83173937,0.43667305,0.23086579,0.8990423,0.36234915,0.2661224,0.66799426,0.34958854,0.55044115,0.7000317,0.30288488,0.53407866,0.9023661,0.25176302,0.8046624,0.54982716,0.22338386,0.7730298,0.54224426,0.81633765,0.5023969,0.76777595,0.752088,0.49877402,0.78623325,0.7144418,0.9890788,0.725609,0.6286343,0.9188851,0.6665336,0.3749998,0.9254233,0.11413833,0.3079767,0.9259128,0.1395395,Bow
0.38438544,0.96377814,0.8994459,0.35047695,0.93819135,0.9281579,0.35046875,0.9399327,0.8084103,0.36545694,0.84679407,0.91042495,0.37013578,0.84826463,0.941716,0.47454554,0.764755,0.57286125,0.4719695,0.7760853,0.86278504,0.41358358,0.48615423,0.5231193,0.423379,0.4967075,0.6577379,0.33203796,0.2654406,0.4560902,0.3325025,0.25820342,0.78095615,0.7833335,0.49434984,0.797869,0.8092337,0.4876271,0.6438683,0.6874114,0.08102846,0.7080054,0.7094481,0.06207619,0.8439241,0.32564268,0.21591157,0.31648478,0.32363018,0.18125615,0.63237774,Bow
0.33980468,0.03358579,0.8203007,0.31363118,0.05988697,0.7097493,0.3135392,0.04974901,0.7637733,0.34554172,0.1498908,0.83521813,0.34093845,0.13222693,0.7996345,0.47623697,0.23466378,0.8158623,0.40219525,0.23417729,0.6352554,0.43681696,0.5194308,0.67190874,0.37540618,0.44109327,0.8798755,0.37977052,0.7220215,0.60398364,0.3179634,0.6215219,0.82160795,0.67739725,0.55781615,0.7857757,0.6252457,0.53441393,0.835585,0.6369155,0.98515016,0.8741983,0.5503817,0.81661564,0.46471813,0.37995553,0.753404,0.41564253,0.34973842,0.73730636,0.25071135,Bow
0.49213237,0.01226942,0.58553445,0.44756973,0.02984154,0.6699459,0.44945893,0.01967108,0.7686004,0.45911518,0.1517338,0.77473915,0.46307492,0.1400681,0.6032813,0.62054574,0.21233693,0.730393,0.59689885,0.19865403,0.7719834,0.27663064,0.19923106,0.7839581,0.2646984,0.19001374,0.686129,0.13932313,0.42303413,0.73243713,0.13982551,0.42764786,0.46699548,0.8278397,0.5292047,0.7838074,0.76939034,0.48768872,0.63941693,0.5158546,0.9304519,0.86906344,0.51468086,0.80563265,0.49214345,0.27359733,0.6537284,0.25440475,0.35933584,0.8117517,0.07899288,Bow
0.51381296,0.8480439,0.7117283,0.4941333,0.83198416,0.8334774,0.49578977,0.83547974,0.8100404,0.5111979,0.77595377,0.70042187,0.5143847,0.7779719,0.8192527,0.5308903,0.7001052,0.55491936,0.56944084,0.70247746,0.8279895,0.45991063,0.5480146,0.58964986,0.47392654,0.5489033,0.62955856,0.38208327,0.43015,0.6978406,0.40556604,0.4063319,0.71465445,0.65248626,0.43082544,0.76130277,0.6876609,0.42972752,0.85773087,0.5878227,0.19509237,0.5546354,0.6131049,0.17912528,0.6548698,0.4226575,0.34241042,0.494921,0.4337244,0.33570608,0.61584985,Bow
0.48813576,0.8035496,0.59262145,0.4679135,0.7882345,0.7813512,0.46850854,0.784511,0.67639655,0.48712647,0.7253282,0.7160793,0.49198842,0.71845335,0.68639135,0.61368936,0.68903834,0.41290793,0.64063066,0.6888731,0.59078825,0.37027925,0.7151254,0.5958709,0.37061432,0.7190038,0.81419164,0.1848019,0.5308957,0.3840511,0.18587051,0.5356779,0.52235484,0.82294905,0.3972909,0.54586804,0.85282904,0.39666915,0.549765,0.5252266,0.21961541,0.6666072,0.5225915,0.22261538,0.56765497,0.2531831,0.39345625,0.318615,0.25023726,0.400588,0.27769145,Bow
0.39675206,0.13561365,0.42886636,0.39270976,0.1722653,0.46736825,0.3891933,0.15667604,0.31641045,0.4970282,0.21641013,0.37912703,0.4954158,0.20812677,0.4066705,0.6315435,0.16068165,0.3936322,0.6332239,0.1813967,0.6018747,0.301763,0.19889279,0.6766672,0.29163444,0.19853815,0.42882246,0.11342017,0.39693174,0.49220505,0.11456007,0.39381194,0.46702427,0.8235003,0.51534903,0.6436906,0.80534804,0.521483,0.64003897,0.56430733,0.8588754,0.5320312,0.57412523,0.8143537,0.3958364,0.22338817,0.5933354,0.39543033,0.23233584,0.6020958,0.21111333,Bow
0.38067234,0.8863666,0.79839134,0.37013748,0.8486835,0.8348914,0.37043512,0.8515605,0.7879391,0.4169458,0.7836785,0.7262906,0.4312873,0.7842301,0.794673,0.5532285,0.770577,0.6720771,0.5852361,0.769358,0.83415794,0.2597488,0.74864465,0.559511,0.24970707,0.76645464,0.84775525,0.10008536,0.5395795,0.39601257,0.08196805,0.54337794,0.6174179,0.8169464,0.50547266,0.69077945,0.86006725,0.46649855,0.7116531,0.52189344,0.1769355,0.6739051,0.5234991,0.11868885,0.8265638,0.22261328,0.41853195,0.46546063,0.20905407,0.39200976,0.38343626,Bow
0.47502905,0.9731592,0.8710968,0.4506923,0.95261097,0.8171638,0.45105994,0.94878024,0.89602816,0.479889,0.8745838,0.71259475,0.48165935,0.8698803,0.8792694,0.5372021,0.7873552,0.55466455,0.53456056,0.78359836,0.84311754,0.4450312,0.53768855,0.6507935,0.44772777,0.5402167,0.6228963,0.36862803,0.33567092,0.42358458,0.36643612,0.31230497,0.5312365,0.75590956,0.43809,0.83875066,0.7724037,0.42392018,0.7338021,0.62235314,0.09117331,0.7953009,0.63341963,0.08413086,0.63371724,0.36582115,0.29851463,0.48258856,0.3602801,0.28489077,0.51204586,Bow
0.5094901,0.945796,0.29667726,0.48186535,0.936036,0.20577273,0.47519243,0.9368444,0.44822386,0.5255537,0.9096638,0.31987876,0.49850374,0.892572,0.23960587,0.5833083,0.7463001,0.14041454,0.5865682,0.78064024,0.2504102,0.48551267,0.49535897,0.49009976,0.51286584,0.5248185,0.16887003,0.3196636,0.3455588,0.39986348,0.315468,0.35133892,0.7175718,0.8069286,0.3862238,0.481078,0.825603,0.378498,0.39793667,0.54517037,0.06813859,0.5403511,0.5494046,0.05525677,0.68797535,0.30433822,0.32327643,0.48059586,0.30126476,0.3301964,0.5403728,Bow
0.45166823,0.1624394,0.7638689,0.4401603,0.1782285,0.7024249,0.43860605,0.17770393,0.59987223,0.46379092,0.22555983,0.92903715,0.45867392,0.22119057,0.55673724,0.50856435,0.272701,0.6898875,0.49826977,0.27099222,0.74438137,0.45323202,0.407704,0.6693189,0.4561478,0.3988273,0.4838365,0.37905535,0.5332626,0.6151361,0.3769914,0.52854663,0.6490795,0.6378561,0.47518277,0.7553941,0.6195847,0.4706522,0.84132195,0.5246433,0.67540914,0.72585535,0.5158082,0.66877973,0.6813881,0.38115445,0.566072,0.31972346,0.38327733,0.55380464,0.5813576,Bow
0.03606699,0.63304156,0.03107639,0.7257363,0.9795838,0.0267022,0.74381816,0.976459,0.04857431,0.5721519,0.8370134,0.01852144,0.33598077,0.5330784,0.00768259,0.08933661,0.27159312,0.08265422,0.17016947,0.8702808,0.06776929,0.36408702,0.6225258,0.0081235,0.44543478,0.54836625,0.01324187,0.344358,0.5566716,0.01094784,0.4086819,0.43451017,0.02394741,0.65828717,0.5900945,0.00894009,0.6720601,0.529631,0.00699728,0.5733548,0.12616219,0.09518033,0.57259434,0.13365217,0.07311473,0.5747761,0.12754409,0.09662083,0.5711949,0.13366759,0.08744302,Bow
0.17235436,0.94870895,0.857412,0.14218397,0.9197622,0.73565066,0.14232697,0.9193813,0.7899155,0.17603227,0.8191392,0.7249076,0.17621315,0.81817496,0.9365324,0.35182738,0.73292005,0.78168637,0.36866537,0.72528017,0.59636194,0.4075439,0.41506845,0.7283675,0.42856237,0.42362723,0.74948573,0.4770149,0.12208504,0.5753366,0.42011797,0.15775906,0.60440826,0.78872764,0.62781113,0.7188129,0.81568307,0.62865126,0.7944802,0.80026865,0.13580127,0.75476384,0.87850374,0.08925176,0.7757351,0.48200434,0.11519499,0.694536,0.5002118,0.0883892,0.286477,Bow
0.4183002,0.8050873,0.74977964,0.40160224,0.78707474,0.7864069,0.40014303,0.7831161,0.7907833,0.41670662,0.7309735,0.66915536,0.42772937,0.71812606,0.7327508,0.50062025,0.73508596,0.71626437,0.49810815,0.65741134,0.4246212,0.37799823,0.56531143,0.4297491,0.3776834,0.56123805,0.68138516,0.26356936,0.46822414,0.3141702,0.2617794,0.44979006,0.54088134,0.7177987,0.534362,0.71407974,0.69158274,0.4666773,0.6908535,0.3834651,0.5505548,0.11280278,0.45094588,0.27347288,0.3503627,0.25696772,0.45454264,0.28245968,0.25239357,0.43223757,0.66761214,Bow
0.50780725,0.74044526,0.764101,0.49308416,0.7269523,0.80492693,0.49316517,0.7269356,0.8214174,0.50743,0.68717647,0.74731636,0.51211244,0.683555,0.85695326,0.54986364,0.65532273,0.67908335,0.5586856,0.65735596,0.83717054,0.4789459,0.54599243,0.6068966,0.47195944,0.5493325,0.54871863,0.3946503,0.45981318,0.32699597,0.39245534,0.4509464,0.5283231,0.6519642,0.44418696,0.7673974,0.6627284,0.4404272,0.74618924,0.52549326,0.29651192,0.69351757,0.5370833,0.2927595,0.5610405,0.39544478,0.4131455,0.4035727,0.39363417,0.42492452,0.5489889,Bow
0.40620404,0.8774296,0.5917902,0.39793524,0.85410994,0.7898182,0.39775315,0.8547966,0.8240849,0.44490668,0.7975935,0.82848495,0.4511062,0.79794097,0.8034911,0.50557476,0.7362913,0.704929,0.53790003,0.75307506,0.60863173,0.45489743,0.541455,0.8362178,0.4600296,0.5599448,0.57735366,0.37670434,0.38523957,0.6316644,0.37818915,0.36769632,0.25460118,0.6677359,0.45619786,0.5398153,0.68514043,0.4546106,0.8726657,0.6453976,0.16573888,0.67880887,0.6631515,0.13394411,0.93475044,0.4356675,0.29868543,0.53543144,0.42229697,0.29487276,0.6110919,Bow
0.27802548,0.01946339,0.26103544,0.2741786,0.00997303,0.36386475,0.27639425,0.01305185,0.364434,0.36221159,0.02113292,0.34475985,0.3527526,0.02305999,0.41137987,0.47572136,0.11806244,0.41524062,0.4515149,0.11776751,0.40942585,0.37975848,0.4249113,0.57238936,0.37089378,0.42009145,0.62214273,0.24375622,0.6654049,0.5723614,0.25105935,0.626088,0.3807571,0.7255774,0.5130737,0.5824387,0.6801375,0.5096926,0.35462457,0.5666763,0.9990386,0.7781083,0.54577464,0.9729146,0.6260839,0.25133145,0.67942685,0.37880197,0.25215515,0.6804393,0.31313294,Bow
0.35637954,0.8395532,0.77881026,0.33277723,0.82312065,0.8342487,0.3326362,0.82278705,0.86125565,0.3485897,0.75858617,0.873379,0.3520653,0.74889976,0.84417963,0.42118764,0.6756845,0.5740263,0.44337195,0.68032444,0.83743036,0.3627344,0.5017445,0.71222985,0.39022928,0.5022933,0.7313388,0.2979464,0.38073134,0.7065685,0.3542419,0.3261374,0.60851955,0.6330585,0.4707201,0.77445096,0.6738278,0.45962936,0.7469286,0.58346945,0.20999224,0.41512126,0.64128274,0.15436752,0.78384095,0.36120918,0.30951005,0.39524004,0.3670434,0.2813118,0.8112182,Bow
