Keypoints,Class
"[[0.44288114 0.3467144  0.23749794]
 [0.42859742 0.36245707 0.3757123 ]
 [0.43185994 0.36436236 0.47004554]
 [0.5393818  0.36789417 0.4388998 ]
 [0.54378456 0.37464657 0.47040355]
 [0.6330218  0.312452   0.5770003 ]
 [0.6001711  0.33453652 0.36518547]
 [0.33380234 0.3395957  0.7719053 ]
 [0.32992938 0.34224775 0.55224884]
 [0.09948735 0.4565259  0.50989246]
 [0.10052559 0.44954884 0.39718974]
 [0.92047495 0.5333123  0.7639266 ]
 [0.8509821  0.520782   0.4681203 ]
 [0.5356467  0.7425777  0.45757693]
 [0.5263994  0.682467   0.6213821 ]
 [0.18708055 0.61203074 0.28445122]
 [0.19497877 0.6196043  0.7560782 ]]",Bow
"[[0.2969079  1.0102047  0.27693805]
 [0.2593457  1.0034053  0.61125433]
 [0.26353762 0.9936683  0.64876163]
 [0.28609782 0.9043895  0.8040031 ]
 [0.2894225  0.8993256  0.7505893 ]
 [0.36708295 0.7659192  0.55626047]
 [0.4213356  0.7998558  0.7790443 ]
 [0.3241401  0.5279667  0.85740125]
 [0.35831717 0.5157381  0.5440889 ]
 [0.23072106 0.32884172 0.65279627]
 [0.29403377 0.28662965 0.5317769 ]
 [0.70936215 0.46482116 0.63789773]
 [0.77862686 0.4537404  0.75062746]
 [0.6338201  0.05741354 0.6440443 ]
 [0.71140975 0.02122451 0.7393031 ]
 [0.32095373 0.22354966 0.5978989 ]
 [0.331325   0.20002528 0.44704312]]",Bow
"[[0.385389   0.9943256  0.7563681 ]
 [0.35804057 0.9839424  0.5806867 ]
 [0.35791552 0.97878057 0.7832058 ]
 [0.36489594 0.8871452  0.703707  ]
 [0.3665608  0.8815422  0.92040753]
 [0.46458808 0.7845594  0.5865284 ]
 [0.47531146 0.78959805 0.7614127 ]
 [0.40281016 0.5139579  0.62459224]
 [0.41307268 0.51438874 0.7383603 ]
 [0.3077534  0.31459892 0.534241  ]
 [0.31343776 0.2699798  0.5329847 ]
 [0.7200493  0.4511499  0.8630586 ]
 [0.764565   0.4284832  0.5237527 ]
 [0.6034493  0.18027185 0.5706523 ]
 [0.6778685  0.04437727 0.94962406]
 [0.30845165 0.2886561  0.36253014]
 [0.2955292  0.23272291 0.5161203 ]]",Bow
"[[0.39646563 0.97023785 0.72288835]
 [0.38343686 0.9362182  0.6997838 ]
 [0.38244188 0.9401551  0.70716643]
 [0.43689784 0.8664876  0.8310373 ]
 [0.44189748 0.8697088  0.8799179 ]
 [0.52491075 0.7895352  0.82404435]
 [0.5331543  0.8029784  0.8559736 ]
 [0.40119857 0.5455265  0.60902524]
 [0.4051256  0.535349   0.7619529 ]
 [0.27308866 0.36057425 0.6463257 ]
 [0.27792585 0.35059533 0.6326595 ]
 [0.7659647  0.42231768 0.864843  ]
 [0.77927405 0.41431296 0.71988076]
 [0.591298   0.07426099 0.5212409 ]
 [0.6127231  0.02872998 0.74462163]
 [0.3072208  0.2787852  0.600525  ]
 [0.30039704 0.27480155 0.56296885]]",Bow
"[[0.34759638 0.0106107  0.754202  ]
 [0.30529273 0.04591108 0.80122125]
 [0.30345803 0.02249366 0.75328046]
 [0.34519774 0.15703958 0.7604042 ]
 [0.33009627 0.13158058 0.41974485]
 [0.49639854 0.2028219  0.7305072 ]
 [0.42729646 0.23848397 0.5599911 ]
 [0.38234207 0.46745646 0.76748013]
 [0.36175394 0.47342643 0.46555245]
 [0.23894368 0.7246885  0.55338836]
 [0.2323034  0.70170695 0.3149956 ]
 [0.5519804  0.6558488  0.22581686]
 [0.541713   0.6684916  0.12709297]
 [0.31991622 0.76561105 0.09515825]
 [0.3330494  0.7646638  0.07038236]
 [0.2664321  0.7883857  0.22948138]
 [0.23013775 0.7252079  0.19859354]]",Bow
"[[0.43263558 0.98928523 0.38395268]
 [0.40587845 0.9733549  0.38134184]
 [0.40481392 0.96055937 0.5443398 ]
 [0.42279407 0.88152474 0.2284509 ]
 [0.42989922 0.86044353 0.6830472 ]
 [0.54727656 0.7782664  0.59351504]
 [0.5364874  0.77491015 0.751698  ]
 [0.44263113 0.49876118 0.64142776]
 [0.44185394 0.4923802  0.8006766 ]
 [0.29402602 0.2779378  0.38699123]
 [0.30055657 0.2767431  0.62192875]
 [0.8375838  0.452985   0.6769891 ]
 [0.861836   0.42964745 0.6602454 ]
 [0.6080456  0.09950764 0.4773055 ]
 [0.61907125 0.08250225 0.50716865]
 [0.28752583 0.25246647 0.32388014]
 [0.2904602  0.2230619  0.38021162]]",Bow
"[[0.43962494 0.9879935  0.6756562 ]
 [0.42465574 0.9600285  0.7963515 ]
 [0.42389408 0.96287805 0.8244742 ]
 [0.46943432 0.88844687 0.8537968 ]
 [0.47278532 0.8923921  0.8694383 ]
 [0.5504463  0.8196252  0.66218865]
 [0.55991006 0.8447386  0.9053529 ]
 [0.44714776 0.55976474 0.67681056]
 [0.4552472  0.5561044  0.795683  ]
 [0.30937013 0.3142549  0.29713038]
 [0.30788562 0.30324364 0.49657765]
 [0.81476635 0.47662818 0.5659784 ]
 [0.85293794 0.47319913 0.788906  ]
 [0.61183894 0.04475461 0.75910056]
 [0.6702082  0.02730833 0.7718223 ]
 [0.29611877 0.25505936 0.27806425]
 [0.2954758  0.25186023 0.305978  ]]",Bow
"[[0.30013114 0.9934497  0.85775214]
 [0.2729166  0.9728736  0.8875187 ]
 [0.27262166 0.9700212  0.80765826]
 [0.3016993  0.87561166 0.7956451 ]
 [0.30751303 0.87140846 0.79144883]
 [0.4184451  0.7900293  0.7294993 ]
 [0.426342   0.7837393  0.81022847]
 [0.33293778 0.52964556 0.67669356]
 [0.3376014  0.53031594 0.6548732 ]
 [0.1976216  0.32800737 0.47592548]
 [0.19682793 0.3213343  0.70583284]
 [0.740733   0.4935094  0.6884147 ]
 [0.76958835 0.48009118 0.7493316 ]
 [0.63810825 0.05460133 0.79407644]
 [0.6530281  0.04059101 0.75203973]
 [0.2891866  0.21875751 0.3925765 ]
 [0.28712952 0.20384306 0.5828644 ]]",Bow
"[[0.4125744  0.9910761  0.8405773 ]
 [0.38726574 0.9708525  0.89602274]
 [0.3874331  0.9726612  0.64181775]
 [0.40507388 0.87855864 0.84593946]
 [0.40800357 0.87684345 0.87014925]
 [0.45610407 0.7840383  0.70902   ]
 [0.5173719  0.7992819  0.7748479 ]
 [0.39559183 0.57406384 0.7985772 ]
 [0.42164576 0.56469214 0.67472315]
 [0.304775   0.37993756 0.8602142 ]
 [0.32740223 0.34900033 0.7868002 ]
 [0.6982455  0.469685   0.65379345]
 [0.73458344 0.44992444 0.4010166 ]
 [0.55098957 0.12426575 0.6045074 ]
 [0.6264979  0.04998671 0.9328176 ]
 [0.31483006 0.34249312 0.43088916]
 [0.3385111  0.28783384 0.61647916]]",Bow
"[[0.28426024 0.16244146 0.7819666 ]
 [0.28803033 0.19456486 0.8060247 ]
 [0.2868052  0.1910141  0.83228934]
 [0.38568506 0.21122812 0.8458655 ]
 [0.38781992 0.2053902  0.84996825]
 [0.4918205  0.14303099 0.6633391 ]
 [0.4943896  0.1684464  0.7704263 ]
 [0.2254247  0.04463624 0.7450737 ]
 [0.22392619 0.05107739 0.5545238 ]
 [0.22633786 0.29017815 0.37008572]
 [0.23190957 0.28597802 0.7039153 ]
 [0.6946416  0.5057532  0.77771235]
 [0.6776998  0.502195   0.78346765]
 [0.43857738 0.9397063  0.8859038 ]
 [0.4287619  0.8171838  0.3989874 ]
 [0.30306113 0.52882034 0.50171477]
 [0.30570406 0.5307171  0.5419669 ]]",Bow
"[[0.31393555 0.99133295 0.835779  ]
 [0.28652242 0.9786748  0.7950318 ]
 [0.28735918 0.9810191  0.87310433]
 [0.30763587 0.89683527 0.8970138 ]
 [0.31097522 0.90022844 0.8545525 ]
 [0.39175823 0.7646128  0.616858  ]
 [0.45336846 0.7967111  0.70010704]
 [0.3722079  0.4947546  0.86689687]
 [0.41011816 0.4807229  0.79580176]
 [0.32556075 0.25212306 0.6149683 ]
 [0.34722632 0.20725147 0.7451154 ]
 [0.67422986 0.4688904  0.83956873]
 [0.73106474 0.4567551  0.7495018 ]
 [0.6252233  0.15726666 0.75723934]
 [0.7140995  0.03503351 0.8426933 ]
 [0.35016468 0.21200544 0.52945495]
 [0.36341697 0.18331866 0.34325987]]",Bow
"[[0.3035945  0.07037797 0.7438685 ]
 [0.29926205 0.09880338 0.8139605 ]
 [0.29843992 0.09718303 0.7713937 ]
 [0.37260908 0.15755883 0.8015964 ]
 [0.37140265 0.15391925 0.7951063 ]
 [0.46926537 0.21866673 0.6769941 ]
 [0.4348843  0.24734347 0.7925436 ]
 [0.45666268 0.49084303 0.7142875 ]
 [0.43686023 0.4747596  0.88332874]
 [0.4136579  0.73900425 0.58381665]
 [0.35384762 0.66975075 0.6476855 ]
 [0.70824623 0.5246238  0.9002749 ]
 [0.66816837 0.52040154 0.8447602 ]
 [0.6583322  0.9253153  0.834446  ]
 [0.6064399  0.8596722  0.6698859 ]
 [0.4017079  0.7561129  0.5013374 ]
 [0.2632049  0.71822053 0.5406174 ]]",Bow
"[[0.372468   0.19178759 0.47523373]
 [0.35990694 0.23199823 0.63623726]
 [0.35848883 0.23520046 0.67122173]
 [0.45140547 0.2858283  0.6563637 ]
 [0.45307815 0.28419736 0.7003087 ]
 [0.59118617 0.2311204  0.6898221 ]
 [0.5866784  0.22895974 0.7324964 ]
 [0.276032   0.22287235 0.79297537]
 [0.27359957 0.23183666 0.67853165]
 [0.05256389 0.41821963 0.63807887]
 [0.0572565  0.42039716 0.43996108]
 [0.8772051  0.5869517  0.7465537 ]
 [0.85996765 0.5720268  0.579898  ]
 [0.51648253 0.8926472  0.74002993]
 [0.53868496 0.81806815 0.60458636]
 [0.15902369 0.62952477 0.7024112 ]
 [0.24694948 0.599703   0.58856153]]",Bow
"[[0.34562632 0.9230391  0.5572224 ]
 [0.34020084 0.8821738  0.4528412 ]
 [0.3430983  0.87325025 0.4962153 ]
 [0.39900744 0.8400423  0.40358776]
 [0.41487035 0.8420711  0.50091374]
 [0.5531718  0.8782968  0.38132194]
 [0.5726843  0.87953997 0.48436084]
 [0.39503077 0.70683795 0.31596443]
 [0.39070374 0.7042525  0.48500752]
 [0.21452501 0.60969824 0.18210922]
 [0.20448041 0.5905614  0.30578485]
 [0.7770808  0.57526517 0.6846667 ]
 [0.83252853 0.54508495 0.45961928]
 [0.5879421  0.23797013 0.46900457]
 [0.6404487  0.07319479 0.78994316]
 [0.27369085 0.37789997 0.44877505]
 [0.2729511  0.3762053  0.42788804]]",Bow
"[[0.3487214  0.0427975  0.6993225 ]
 [0.33808354 0.08292155 0.80971164]
 [0.3371481  0.0802967  0.8224509 ]
 [0.40206465 0.14910427 0.86341417]
 [0.3961495  0.14642769 0.60423946]
 [0.50953615 0.21014543 0.6749053 ]
 [0.5028825  0.21921158 0.8005678 ]
 [0.4095318  0.45657343 0.790367  ]
 [0.40794337 0.4439931  0.78662   ]
 [0.28148106 0.6470132  0.68313485]
 [0.29672992 0.6116441  0.5988655 ]
 [0.7719526  0.5431444  0.71256316]
 [0.75298077 0.54267895 0.8585602 ]
 [0.5998258  0.94399405 0.86536896]
 [0.5799158  0.8631114  0.46278974]
 [0.30887014 0.70767087 0.6119704 ]
 [0.335162   0.7049444  0.49791408]]",Bow
"[[0.30411085 0.01538348 0.8067407 ]
 [0.270423   0.03162253 0.736326  ]
 [0.26819006 0.03220668 0.74677765]
 [0.30526596 0.11655515 0.7337863 ]
 [0.30522487 0.12110215 0.82891273]
 [0.44116083 0.2310265  0.8067993 ]
 [0.36683196 0.26510176 0.638754  ]
 [0.3480247  0.5545522  0.7985335 ]
 [0.30283615 0.53402805 0.9029041 ]
 [0.25196388 0.80450666 0.54730093]
 [0.22355093 0.7726758  0.54891545]
 [0.8165623  0.50236636 0.7685199 ]
 [0.7520283  0.49903822 0.7841127 ]
 [0.7144486  0.98910034 0.72670573]
 [0.62862474 0.91870457 0.65793073]
 [0.37525004 0.9254227  0.11353613]
 [0.30810878 0.92630297 0.13869591]]",Bow
"[[0.38431236 0.96374714 0.8996538 ]
 [0.35041833 0.9381549  0.9280053 ]
 [0.35044095 0.939898   0.80828846]
 [0.3654607  0.84667563 0.91022825]
 [0.37024003 0.8482257  0.9416959 ]
 [0.47449034 0.76464576 0.5719094 ]
 [0.47199517 0.775924   0.86132145]
 [0.41355675 0.48617226 0.520252  ]
 [0.4234952  0.4965953  0.6595678 ]
 [0.33199516 0.26534104 0.45845336]
 [0.3324948  0.25817773 0.7797805 ]
 [0.78349614 0.49420673 0.79947215]
 [0.815108   0.49207145 0.8257069 ]
 [0.6873665  0.08103639 0.7080891 ]
 [0.7093923  0.06208771 0.8457718 ]
 [0.32558864 0.21587154 0.31466854]
 [0.3235219  0.18116769 0.6319855 ]]",Bow
"[[0.3397947  0.03360323 0.82070154]
 [0.3135687  0.05991457 0.70842266]
 [0.31353146 0.0497349  0.76388776]
 [0.34553137 0.14987347 0.83497244]
 [0.3410293  0.13214578 0.79797906]
 [0.47616795 0.23436871 0.816649  ]
 [0.40207034 0.23412436 0.6391664 ]
 [0.43677747 0.5191094  0.6723051 ]
 [0.37534624 0.44110504 0.88085306]
 [0.37975672 0.721926   0.6048104 ]
 [0.31793073 0.62144154 0.82011163]
 [0.6774291  0.55742514 0.7846252 ]
 [0.6252062  0.5341726  0.83512276]
 [0.6367837  0.98500377 0.8763177 ]
 [0.5502407  0.81642914 0.45961016]
 [0.379859   0.7533753  0.41524985]
 [0.34960347 0.73740274 0.25126034]]",Bow
"[[0.4919638  0.01206302 0.5838474 ]
 [0.44739503 0.02978981 0.6691718 ]
 [0.44944462 0.01938847 0.7681769 ]
 [0.4587348  0.15201187 0.77698326]
 [0.4630823  0.13996902 0.60234123]
 [0.6206013  0.2122304  0.72428966]
 [0.59772027 0.19895132 0.7764244 ]
 [0.27666786 0.19926168 0.7809046 ]
 [0.26494247 0.19023108 0.68274343]
 [0.13915764 0.4228073  0.7277509 ]
 [0.13982382 0.42752686 0.4629725 ]
 [0.8277918  0.5290377  0.7855605 ]
 [0.7696372  0.4878294  0.6373851 ]
 [0.51592803 0.9297811  0.86262286]
 [0.5149809  0.8056586  0.49010247]
 [0.274369   0.65390736 0.24957557]
 [0.43054304 0.86511207 0.02876883]]",Bow
"[[0.51377296 0.84807825 0.7126431 ]
 [0.49409524 0.8320211  0.83483624]
 [0.4957775  0.83548963 0.81071466]
 [0.5111705  0.77595425 0.6997786 ]
 [0.5144213  0.7779645  0.82057554]
 [0.53079176 0.70025146 0.559476  ]
 [0.56940967 0.7024033  0.82804   ]
 [0.45991957 0.54802376 0.58853877]
 [0.47403985 0.54885936 0.6306141 ]
 [0.38206676 0.4301979  0.69647247]
 [0.40558925 0.4062741  0.71397376]
 [0.6524958  0.4305463  0.7620228 ]
 [0.68770397 0.4294495  0.8581271 ]
 [0.58775985 0.19497204 0.5537151 ]
 [0.6130947  0.17910069 0.6541196 ]
 [0.42266586 0.34231722 0.49002433]
 [0.4337194  0.33562282 0.6169746 ]]",Bow
"[[0.488004   0.8035883  0.594476  ]
 [0.4677446  0.78837067 0.78281564]
 [0.46837536 0.7846005  0.67847085]
 [0.48712355 0.7253054  0.71472967]
 [0.49204376 0.71852064 0.6866121 ]
 [0.61362433 0.68903863 0.4139379 ]
 [0.6407333  0.68896043 0.59306145]
 [0.3702395  0.7150397  0.59703875]
 [0.37067676 0.7189408  0.81395304]
 [0.18473981 0.5307711  0.38200915]
 [0.18582948 0.5355967  0.5221284 ]
 [0.82297325 0.39679575 0.5476895 ]
 [0.8527521  0.3962614  0.5527542 ]
 [0.52525747 0.21960132 0.6655156 ]
 [0.52268016 0.22269282 0.57172453]
 [0.2530227  0.39351502 0.31998748]
 [0.25010458 0.4006076  0.27687147]]",Bow
"[[0.3967504  0.1355747  0.4294449 ]
 [0.39266363 0.17223173 0.46557853]
 [0.38917696 0.15660796 0.31590936]
 [0.4970421  0.21638529 0.37644723]
 [0.49549717 0.208128   0.40498662]
 [0.631473   0.16050398 0.39033315]
 [0.63325185 0.181463   0.6052531 ]
 [0.30190754 0.1988824  0.67612684]
 [0.29168898 0.1984468  0.43129644]
 [0.11338738 0.39693013 0.49088475]
 [0.11452691 0.39382395 0.4687852 ]
 [0.8234525  0.51531017 0.6425227 ]
 [0.8052949  0.5214833  0.6394572 ]
 [0.5642535  0.8584992  0.5313654 ]
 [0.5741696  0.81416404 0.39424765]
 [0.2234213  0.5933323  0.39093244]
 [0.23243074 0.6020358  0.20973442]]",Bow
"[[0.3806822  0.88648474 0.7971458 ]
 [0.37009433 0.84875214 0.8361992 ]
 [0.37042156 0.85157716 0.7886268 ]
 [0.41683832 0.7835933  0.7266414 ]
 [0.4312725  0.78399825 0.7948646 ]
 [0.55328286 0.7707061  0.6722324 ]
 [0.58500445 0.76927257 0.83766764]
 [0.25982422 0.7486256  0.55589294]
 [0.24975994 0.7663982  0.8496439 ]
 [0.10004691 0.5398266  0.40197462]
 [0.0819583  0.5434345  0.6147256 ]
 [0.81725574 0.50537646 0.6871125 ]
 [0.860249   0.46635678 0.71061   ]
 [0.52219737 0.17679755 0.67475116]
 [0.5234816  0.11865301 0.82629776]
 [0.22263712 0.41839793 0.4666807 ]
 [0.20930402 0.39195433 0.3822588 ]]",Bow
"[[0.47496948 0.97316587 0.87160313]
 [0.4506387  0.9526736  0.81924033]
 [0.4510339  0.948768   0.896533  ]
 [0.4798181  0.8745889  0.7123325 ]
 [0.48163384 0.8698417  0.879563  ]
 [0.537189   0.78725356 0.5527869 ]
 [0.5344395  0.7836066  0.843019  ]
 [0.4450276  0.5376254  0.6464497 ]
 [0.44776973 0.54014724 0.62431943]
 [0.3687311  0.3355047  0.423972  ]
 [0.37067485 0.313691   0.4610845 ]
 [0.7559734  0.43799567 0.83919036]
 [0.7723083  0.4238745  0.7350786 ]
 [0.62233776 0.09103845 0.79380345]
 [0.63345826 0.08406849 0.63604766]
 [0.36579895 0.29844916 0.479411  ]
 [0.36025596 0.2848053  0.5131575 ]]",Bow
"[[0.50947523 0.9457038  0.29886982]
 [0.4819938  0.93594426 0.20680755]
 [0.47523692 0.93684816 0.45096615]
 [0.5256045  0.9095138  0.322165  ]
 [0.49840555 0.89264995 0.24077708]
 [0.58336014 0.7463035  0.14262436]
 [0.5863911  0.78038627 0.24623285]
 [0.48551035 0.49515012 0.49274227]
 [0.5128587  0.5244678  0.16959871]
 [0.31964472 0.3455376  0.40187636]
 [0.32199377 0.35217443 0.6800878 ]
 [0.80687517 0.38571218 0.48609376]
 [0.825548   0.3781883  0.4023101 ]
 [0.5451349  0.06814206 0.54250455]
 [0.5493312  0.05517828 0.69473714]
 [0.3053871  0.33354858 0.4341642 ]
 [0.30131304 0.33006927 0.54178333]]",Bow
"[[0.45164534 0.1624293  0.76268107]
 [0.44012645 0.17820938 0.70078707]
 [0.43860263 0.17769988 0.6004056 ]
 [0.4637293  0.22552647 0.92906296]
 [0.45867255 0.22116196 0.5592238 ]
 [0.5084827  0.27266434 0.6920035 ]
 [0.49825484 0.27092662 0.74465656]
 [0.45327833 0.4077092  0.6698448 ]
 [0.45620814 0.3987386  0.486187  ]
 [0.37910646 0.5331781  0.61537784]
 [0.37704676 0.5284809  0.64940435]
 [0.63777304 0.47518465 0.75308895]
 [0.6195546  0.47067916 0.8410592 ]
 [0.5246295  0.67537457 0.7247602 ]
 [0.515819   0.6687518  0.6831331 ]
 [0.38119772 0.56603825 0.3195698 ]
 [0.3832816  0.55378747 0.5821    ]]",Bow
"[[0.03629993 0.64444584 0.02830229]
 [0.7257631  0.9795388  0.02438324]
 [0.7437477  0.97659093 0.04709837]
 [0.23964821 0.2319401  0.02867538]
 [0.33401456 0.21316575 0.02237035]
 [0.0888949  0.27103695 0.08199628]
 [0.16919518 0.87258565 0.06777915]
 [0.3643636  0.6230628  0.00742622]
 [0.44517863 0.54890823 0.0120505 ]
 [0.3615717  0.5544154  0.01066717]
 [0.40786105 0.43450588 0.02256249]
 [0.6582131  0.589863   0.00715692]
 [0.67231786 0.52944285 0.00579182]
 [0.5732636  0.12645066 0.08683649]
 [0.57231456 0.13360703 0.06955024]
 [0.57461476 0.12736084 0.09228881]
 [0.5710634  0.13360181 0.08507763]]",Bow
