Keypoints,Class
"[[0.44916674 0.8824473  0.80364645]
 [0.40502512 0.18431763 0.83568   ]
 [0.74171394 0.2065627  0.9699641 ]
 [0.26614738 0.20303972 0.9475502 ]
 [0.8766919  0.20066208 0.9190945 ]
 [0.11568115 0.22200428 0.91237247]
 [0.50270194 0.45225295 0.6243775 ]
 [0.4603571  0.45535704 0.90542877]
 [0.49521172 0.7063775  0.92728347]
 [0.7078441  0.47341222 0.65541166]
 [0.48685256 0.94553596 0.79575056]
 [0.91466135 0.44150585 0.80581677]]"
"[[0.40654084 0.07794549 0.4728271 ]
 [0.4146715  0.06502645 0.34996566]
 [0.39073846 0.07399838 0.4764109 ]
 [0.4464962  0.09168442 0.5427233 ]
 [0.3970427  0.09493878 0.6064725 ]
 [0.5312027  0.17059135 0.86757934]
 [0.35231432 0.18755145 0.7555726 ]
 [0.672731   0.18474355 0.8532432 ]
 [0.23446494 0.21042249 0.31554714]
 [0.8164604  0.14482479 0.8941464 ]
 [0.097254   0.19997743 0.8540824 ]
 [0.48073643 0.45139694 0.78107667]
 [0.38815874 0.4642072  0.7677159 ]
 [0.68778074 0.4758658  0.6771182 ]
 [0.29775217 0.6775942  0.6660892 ]
 [0.9075221  0.46324784 0.86282545]
 [0.20241024 0.8557306  0.7952063 ]]"
"[[0.4955312  0.04455254 0.48764613]
 [0.5242702  0.02658056 0.6238104 ]
 [0.48048097 0.02697171 0.7647042 ]
 [0.5652774  0.04986347 0.57764727]
 [0.46184975 0.03292159 0.6536577 ]
 [0.5778846  0.18428333 0.87482244]
 [0.364567   0.12011889 0.7842107 ]
 [0.7656953  0.1403052  0.8977314 ]
 [0.20864272 0.13982412 0.8258339 ]
 [0.9351776  0.07802321 0.70253885]
 [0.04368995 0.13757116 0.7764277 ]
 [0.4138776  0.4358554  0.810766  ]
 [0.29980716 0.430131   0.7554118 ]
 [0.65240574 0.49619794 0.6203549 ]
 [0.24464323 0.6720415  0.8907625 ]
 [0.93541336 0.5164946  0.81910855]
 [0.14748067 0.92920244 0.7632855 ]]"
"[[0.40906867 0.8821608  0.64141095]
 [0.40052488 0.8958423  0.8561076 ]
 [0.4274101  0.9028593  0.7192571 ]
 [0.3961756  0.8734353  0.78898644]
 [0.46134448 0.89113337 0.5178566 ]
 [0.34558272 0.7816932  0.86976177]
 [0.525448   0.7697596  0.8996792 ]
 [0.17331809 0.7793103  0.9331723 ]
 [0.69207567 0.7504352  0.80644834]
 [0.02124194 0.78674346 0.843626  ]
 [0.84477216 0.7765781  0.8797869 ]
 [0.37096202 0.48255777 0.66040885]
 [0.48337886 0.48506835 0.72190577]
 [0.37176907 0.26693088 0.77972555]
 [0.7105258  0.47763026 0.7024562 ]
 [0.38449568 0.07385128 0.7854676 ]
 [0.96063226 0.512753   0.8868737 ]]"
"[[0.46677247 0.03535444 0.42511803]
 [0.46288675 0.0209553  0.5268347 ]
 [0.48670423 0.01138646 0.49151134]
 [0.49952725 0.03778944 0.27619252]
 [0.5495636  0.0416189  0.7150912 ]
 [0.42167506 0.12486448 0.6885303 ]
 [0.60055435 0.16693242 0.76479006]
 [0.26745185 0.14175569 0.507968  ]
 [0.769171   0.16949399 0.7448443 ]
 [0.12840031 0.12544638 0.81182855]
 [0.91736436 0.14758648 0.6608989 ]
 [0.36271933 0.42508608 0.6661848 ]
 [0.49170518 0.43664742 0.6093272 ]
 [0.21801773 0.6622935  0.82263863]
 [0.7044032  0.46188623 0.51234293]
 [0.05943343 0.8835131  0.18767399]
 [0.93065804 0.44472486 0.7031145 ]]"
"[[0.5772097  0.9188876  0.7100934 ]
 [0.6015795  0.9346151  0.81858265]
 [0.56109613 0.94057226 0.5922161 ]
 [0.6142288  0.89917696 0.842781  ]
 [0.52219445 0.9144474  0.8544276 ]
 [0.6293344  0.79585266 0.8484317 ]
 [0.44489348 0.8531908  0.9269738 ]
 [0.7850244  0.7904753  0.8582964 ]
 [0.27836365 0.8304524  0.903381  ]
 [0.91589797 0.8015846  0.95883375]
 [0.12957828 0.8282807  0.84131587]
 [0.46730253 0.562246   0.71712995]
 [0.34672529 0.57949245 0.90474457]
 [0.6792787  0.5392674  0.9125834 ]
 [0.18919307 0.32370317 0.80613714]
 [0.92566806 0.55631864 0.93035054]
 [0.06208462 0.08219729 0.6956233 ]]"
"[[0.3085384  0.857016   0.61410415]
 [0.33611023 0.8828146  0.89924717]
 [0.30860728 0.88449764 0.8486223 ]
 [0.4033605  0.8676019  0.8450753 ]
 [0.33839765 0.8750279  0.67429686]
 [0.48800096 0.7594049  0.8076694 ]
 [0.26781437 0.77202857 0.9566007 ]
 [0.65556717 0.72258824 0.898926  ]
 [0.09509046 0.76040983 0.78098905]
 [0.8159673  0.73169017 0.80016005]
 [0.07797725 0.76249796 0.21564038]
 [0.36833856 0.44346565 0.7316387 ]
 [0.305757   0.42657715 0.8064263 ]
 [0.3295838  0.22401671 0.95380044]
 [0.5858044  0.43229952 0.37943962]
 [0.3015755  0.04481222 0.90748507]
 [0.825187   0.46230075 0.8908199 ]]"
"[[0.4756588  0.8766684  0.5770517 ]
 [0.47173283 0.8936996  0.74336636]
 [0.49739578 0.89598906 0.5611216 ]
 [0.4662708  0.87025356 0.6876573 ]
 [0.531212   0.8712863  0.50204456]
 [0.3864638  0.79979    0.7273611 ]
 [0.5778327  0.7524617  0.8233715 ]
 [0.22765908 0.8143509  0.7354696 ]
 [0.7445382  0.75288653 0.8863032 ]
 [0.0805278  0.8224715  0.8956424 ]
 [0.8969989  0.78825825 0.85842115]
 [0.32008314 0.51174337 0.6887256 ]
 [0.40966833 0.4967309  0.91706896]
 [0.32280412 0.27772546 0.7694442 ]
 [0.6598841  0.4956416  0.7722796 ]
 [0.34115475 0.09617995 0.894891  ]
 [0.9181481  0.53199834 0.857983  ]]"
"[[0.48968628 0.08433774 0.8636782 ]
 [0.48654625 0.06421338 0.8101799 ]
 [0.5261118  0.06967635 0.8415452 ]
 [0.48800948 0.07274444 0.7799249 ]
 [0.5673928  0.09961564 0.8596585 ]
 [0.39507905 0.16019379 0.92918384]
 [0.6002876  0.21865898 0.9453344 ]
 [0.24468087 0.14856479 0.8605813 ]
 [0.7580646  0.24651851 0.9727886 ]
 [0.10378683 0.09504772 0.9247604 ]
 [0.9060847  0.23369545 0.8865381 ]
 [0.35541752 0.47250178 0.8871463 ]
 [0.47790068 0.45907634 0.96102875]
 [0.31657046 0.7039249  0.9077572 ]
 [0.6705347  0.48244584 0.83328694]
 [0.27292415 0.87479013 0.65521586]
 [0.9243246  0.49077547 0.92134786]]"
"[[0.5188784  0.9177046  0.66738176]
 [0.54785085 0.93661135 0.5499042 ]
 [0.5036067  0.94338965 0.82732373]
 [0.57075816 0.9116062  0.76792026]
 [0.47833088 0.92612064 0.8086146 ]
 [0.60015863 0.78661686 0.95262563]
 [0.39239338 0.8579562  0.72173846]
 [0.75648606 0.7666871  0.9094756 ]
 [0.22752276 0.8530907  0.93624943]
 [0.8866724  0.77230436 0.9438845 ]
 [0.08317233 0.8677844  0.94144356]
 [0.46570137 0.566756   0.6035872 ]
 [0.32333845 0.564092   0.7611422 ]
 [0.67193323 0.5364558  0.8781781 ]
 [0.23342957 0.303887   0.8368589 ]
 [0.9170278  0.5513318  0.82216704]
 [0.13678294 0.06340948 0.65082806]]"
"[[0.5216773  0.93008864 0.76225126]
 [0.5506567  0.94458055 0.82464033]
 [0.51589125 0.9518205  0.78432715]
 [0.5952279  0.9018136  0.9005122 ]
 [0.5191832  0.93480945 0.7657498 ]
 [0.61595935 0.8025192  0.9314169 ]
 [0.42623577 0.8625501  0.8793416 ]
 [0.75920194 0.78986454 0.92540133]
 [0.26926365 0.8752565  0.8088886 ]
 [0.8704683  0.7870484  0.9493209 ]
 [0.13465884 0.8904739  0.76030326]
 [0.47473925 0.57793534 0.58811116]
 [0.34259158 0.58537936 0.5077175 ]
 [0.6512089  0.54860175 0.9026063 ]
 [0.25797963 0.31907627 0.69850075]
 [0.8750072  0.5684737  0.8025805 ]
 [0.1839671  0.10290475 0.22647366]]"
"[[0.48053828 0.07927803 0.7554996 ]
 [0.45275986 0.07352148 0.83809507]
 [0.45870367 0.06967837 0.8983676 ]
 [0.4131423  0.10864265 0.8491241 ]
 [0.4258079  0.10378022 0.83367217]
 [0.35953346 0.21847366 0.92506146]
 [0.5466336  0.1824979  0.9314259 ]
 [0.22390208 0.27005795 0.8982696 ]
 [0.6861974  0.21200849 0.91895765]
 [0.09505849 0.28420883 0.8172991 ]
 [0.8061643  0.2003797  0.91240734]
 [0.40108645 0.4684384  0.76722956]
 [0.5097528  0.4562842  0.8243182 ]
 [0.37342772 0.70071894 0.94409156]
 [0.70102245 0.47356266 0.9403409 ]
 [0.3420817  0.9032341  0.8891548 ]
 [0.9173769  0.46500054 0.944467  ]]"
"[[0.44600403 0.11558431 0.7438059 ]
 [0.44719455 0.10080434 0.919013  ]
 [0.47170147 0.08969067 0.8577602 ]
 [0.47605136 0.11372574 0.6930618 ]
 [0.5337201  0.105592   0.7561591 ]
 [0.4062368  0.19415596 0.8678424 ]
 [0.60313135 0.20998189 0.96420646]
 [0.25902638 0.22054122 0.9432567 ]
 [0.7674137  0.20661683 0.9479553 ]
 [0.11023493 0.21022391 0.89129925]
 [0.90184844 0.20027688 0.90666234]
 [0.3648616  0.46753174 0.6807544 ]
 [0.47655845 0.464745   0.731146  ]
 [0.38144988 0.7286583  0.8742134 ]
 [0.7173458  0.49246228 0.95029145]
 [0.3917792  0.96044874 0.8660906 ]
 [0.92752904 0.46614376 0.8737409 ]]"
"[[0.44597968 0.10534998 0.5481624 ]
 [0.44175163 0.09516183 0.5342928 ]
 [0.45964953 0.08324838 0.6803984 ]
 [0.47414017 0.11113815 0.23294523]
 [0.513998   0.09794093 0.5398695 ]
 [0.39979756 0.20182692 0.57718366]
 [0.5980056  0.23041618 0.7845832 ]
 [0.24170896 0.19124855 0.77910846]
 [0.74864495 0.24342348 0.77408314]
 [0.10529527 0.14644928 0.76579064]
 [0.88313013 0.23794231 0.551712  ]
 [0.36624724 0.45658094 0.44154543]
 [0.4793791  0.4779373  0.6206907 ]
 [0.23013406 0.7212369  0.6406246 ]
 [0.7202477  0.50485486 0.8138117 ]
 [0.9621858  0.49253422 0.2984607 ]
 [0.95039696 0.49835926 0.4592474 ]]"
"[[0.4662439  0.9312248  0.7837243 ]
 [0.49174738 0.95336854 0.7144828 ]
 [0.45677117 0.9567378  0.82999504]
 [0.53554475 0.92991585 0.89109725]
 [0.4618484  0.94783777 0.82835037]
 [0.5774641  0.8200774  0.8729505 ]
 [0.3938895  0.85575014 0.95309895]
 [0.7206513  0.829423   0.8556225 ]
 [0.2418532  0.82378465 0.92344236]
 [0.83731836 0.84342855 0.951004  ]
 [0.11086176 0.82005596 0.89592606]
 [0.49526417 0.57633466 0.87775576]
 [0.38617024 0.5593501  0.8937308 ]
 [0.6860873  0.57227224 0.95171016]
 [0.40059212 0.32913792 0.9324507 ]
 [0.9109549  0.5548214  0.94871056]
 [0.40133616 0.11530659 0.9007129 ]]"
"[[0.5084226  0.9704225  0.82213825]
 [0.52060103 0.9898055  0.89756215]
 [0.48955253 0.98680353 0.9028319 ]
 [0.56115544 0.971493   0.80849725]
 [0.46664736 0.96295595 0.8577037 ]
 [0.6091407  0.85475796 0.7005385 ]
 [0.42498663 0.8669079  0.9085646 ]
 [0.75515664 0.84341294 0.775075  ]
 [0.28420496 0.83362895 0.9157932 ]
 [0.8835397  0.86733294 0.9762131 ]
 [0.14692703 0.84347695 0.92059535]
 [0.51741827 0.5804089  0.73616695]
 [0.409533   0.58205104 0.8469386 ]
 [0.7116175  0.57821494 0.8250557 ]
 [0.40864548 0.32716823 0.7443104 ]
 [0.9463694  0.5854493  0.86935794]
 [0.38053906 0.08634134 0.87409985]]"
"[[0.46627578 0.0927227  0.66596   ]
 [0.44627434 0.08005016 0.7022526 ]
 [0.48671734 0.06873438 0.85139894]
 [0.42673576 0.09785194 0.584427  ]
 [0.50986755 0.08900069 0.8724846 ]
 [0.36510304 0.18975775 0.8651884 ]
 [0.5610632  0.18673027 0.8952303 ]
 [0.24932986 0.20222384 0.6578082 ]
 [0.70226794 0.21427834 0.9141442 ]
 [0.0966824  0.18547724 0.9108584 ]
 [0.8370486  0.21787705 0.8437233 ]
 [0.42107016 0.46980304 0.78040487]
 [0.52325433 0.46377504 0.91257364]
 [0.41617718 0.73748595 0.8832897 ]
 [0.72151476 0.48452637 0.86045796]
 [0.40733904 0.92551297 0.8515395 ]
 [0.9393932  0.48934874 0.9462705 ]]"
"[[0.39176765 0.90501773 0.83474755]
 [0.40833032 0.9242881  0.71198624]
 [0.36637083 0.9170335  0.65559316]
 [0.4225678  0.8976468  0.74043405]
 [0.33409405 0.8771877  0.85749125]
 [0.49052462 0.79557383 0.8939825 ]
 [0.30365726 0.80689275 0.89305806]
 [0.6318518  0.7879131  0.87481695]
 [0.13141368 0.79386646 0.690009  ]
 [0.7901508  0.80319035 0.6986685 ]
 [0.04142766 0.79102266 0.11003061]
 [0.53448856 0.5277316  0.75904894]
 [0.47090286 0.5001693  0.85183346]
 [0.5798248  0.2692201  0.91701055]
 [0.7816943  0.4744371  0.56822324]
 [0.6224995  0.03496026 0.875378  ]
 [0.94745964 0.4392935  0.32568562]]"
"[[0.41053393 0.06044021 0.2779547 ]
 [0.40466568 0.03765259 0.36881757]
 [0.44054738 0.02570302 0.5496371 ]
 [0.40695915 0.05859771 0.5593587 ]
 [0.48355874 0.06310859 0.5950775 ]
 [0.33367106 0.15123495 0.5943352 ]
 [0.5432557  0.17694183 0.93444884]
 [0.18224552 0.162037   0.9059183 ]
 [0.7032281  0.14912209 0.8656652 ]
 [0.04303613 0.15269114 0.44193086]
 [0.8504479  0.1207447  0.76896787]
 [0.28327572 0.44860142 0.7723843 ]
 [0.42720085 0.4537391  0.7407789 ]
 [0.22117582 0.6843741  0.91402936]
 [0.63116616 0.44320855 0.71520877]
 [0.17043923 0.90487283 0.8825413 ]
 [0.87450385 0.44184744 0.8892993 ]]"
"[[0.5189121  0.9328391  0.29827803]
 [0.5067878  0.9449557  0.27532017]
 [0.50161886 0.9401377  0.37756357]
 [0.4664494  0.9211241  0.18832624]
 [0.45480826 0.9136861  0.24893096]
 [0.48225424 0.80891854 0.3006623 ]
 [0.436196   0.7945091  0.22474006]
 [0.6716734  0.77247024 0.4346618 ]
 [0.6664525  0.77425563 0.12078084]
 [0.8508681  0.7828821  0.3830692 ]
 [0.85168874 0.77866703 0.1592035 ]
 [0.4065026  0.56532955 0.2482185 ]
 [0.32742912 0.5453366  0.26357618]
 [0.6666682  0.49208897 0.38961664]
 [0.66445696 0.4870835  0.26926425]
 [0.9052685  0.50683415 0.3549131 ]
 [0.9120225  0.50212663 0.48137882]]"
"[[0.4121694  0.06959042 0.7652207 ]
 [0.3957339  0.05972939 0.80957496]
 [0.43638188 0.04671743 0.62322795]
 [0.38702935 0.08332089 0.6674434 ]
 [0.47761536 0.07214644 0.7079398 ]
 [0.31838575 0.16794762 0.7459245 ]
 [0.52456737 0.19802205 0.81454164]
 [0.15590976 0.22853643 0.84603655]
 [0.6860486  0.23219623 0.93357325]
 [0.057469   0.20771752 0.04771014]
 [0.835784   0.26235613 0.6183734 ]
 [0.34022725 0.46189564 0.8889533 ]
 [0.43518007 0.45602155 0.84907913]
 [0.64496046 0.47935873 0.7879497 ]
 [0.39713815 0.7062368  0.8290992 ]
 [0.8755936  0.48904526 0.90048474]
 [0.3633392  0.8727892  0.7771392 ]]"
